2023-09-26 10:05:41 - ID: Asiral-6381, Name: Asiral, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Simplicity-49830, Name: Simplicity, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Keldoria-62317, Name: Keldoria, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Zboubax-9676, Name: Zboubax, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Cammie-49540, Name: Cammie, Level: 32, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sláde-34601, Name: Sláde, Level: 14, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Holydruid-20959, Name: Holydruid, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Angelml-29911, Name: Angelml, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Avyli-1874, Name: Avyli, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Googirl-30243, Name: Googirl, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Hartmann-59926, Name: Hartmann, Level: 38, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sába-43332, Name: Sába, Level: 54, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Juleen-52901, Name: Juleen, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Catchingfire-32111, Name: Catchingfire, Level: 19, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Majauraitent-21928, Name: Majauraitent, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Excelerohc-44770, Name: Excelerohc, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Reta-40086, Name: Reta, Level: 43, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Pizzaofdeath-32790, Name: Pizzaofdeath, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Keijin-60545, Name: Keijin, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Eckelpeckel-17759, Name: Eckelpeckel, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: 乃工卂丂丅-39829, Name: 乃工卂丂丅, Level: 30, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Merithar-54002, Name: Merithar, Level: 12, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Raizoor-45001, Name: Raizoor, Level: 5, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Scoundriell-57768, Name: Scoundriell, Level: 37, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Fivefootnine-45635, Name: Fivefootnine, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nasuu-62162, Name: Nasuu, Level: 42, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Rührei-46985, Name: Rührei, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Iwilljudge-19259, Name: Iwilljudge, Level: 35, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Diedfromnet-40810, Name: Diedfromnet, Level: 36, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Papua-26055, Name: Papua, Level: 14, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Bigsmalls-28636, Name: Bigsmalls, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Akuamai-12984, Name: Akuamai, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Grifadin-35368, Name: Grifadin, Level: 22, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Earty-42959, Name: Earty, Level: 36, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Florinsalam-26446, Name: Florinsalam, Level: 1, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kloaspet-45645, Name: Kloaspet, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kalyopsix-7561, Name: Kalyopsix, Level: 30, Race: Unknown, Class: Unknown
